# Black Hole
# 1:iter 2:time 3:x 4:y 5:z 6:vx 7:vy 8:vz
74 2.3125 -0.1461043263072686615 13.48356654078512484 -1.91702742867378321e-10 -0.0117066219347944471 -0.0004726018505091106325 -1.954264232619161174e-10
75 2.34375 -0.1464776125201148194 13.48355149508272532 -1.978284678535296793e-10 -0.01194515881107693911 -0.0004814624767758488282 -1.960231995568435423e-10
76 2.375 -0.1468584211771055137 13.48353616816604195 -2.039705710064754747e-10 -0.01218587702370253073 -0.0004904613338656180731 -1.965473008942653233e-10
77 2.40625 -0.1472468159050613068 13.48352055606899391 -2.101269914697094997e-10 -0.01242863129458545574 -0.0004995871055209859506 -1.970054548234891635e-10
78 2.4375 -0.147642855874979495 13.48350465518264585 -2.162958695415782358e-10 -0.01267327903738187968 -0.0005088283631508968468 -1.974040982997994236e-10
79 2.46875 -0.1480465960467201303 13.48348846224512165 -2.224754947303587473e-10 -0.01291968549570022239 -0.0005181740007521417734 -1.977480060409765514e-10
80 2.5 -0.1484580874911411719 13.48347197432193134 -2.286642281300418135e-10 -0.01316772622147313609 -0.0005276135420878823052 -1.980394687898578341e-10
81 2.53125 -0.1488773777186811198 13.48345518878265104 -2.348604329471025124e-10 -0.01341728728127840331 -0.0005371372569447648666 -1.982785541459424657e-10
82 2.5625 -0.1493045109615513122 13.48343810327940773 -2.410624447486777421e-10 -0.01366826377184601239 -0.0005467361038090422318 -1.984643776504068089e-10
83 2.59375 -0.1497395283788084397 13.4834207157304391 -2.472685913634709002e-10 -0.01392055735222824317 -0.0005564015670225006633 -1.98596691673380828e-10
84 2.625 -0.1501824681758180957 13.48340302430950999 -2.534772473339336991e-10 -0.01417407350430874464 -0.0005661254697340489719 -1.98676991054809925e-10
85 2.65625 -0.1506333656479440508 13.48338502743991363 -2.596868904936891631e-10 -0.01442871910803069334 -0.0005758998270552386899 -1.987085811121744084e-10
86 2.6875 -0.1510922531698681015 13.48336672379079459 -2.658961335967905892e-10 -0.01468440070156975044 -0.0005857167718121900199 -1.98695779299245378e-10
87 2.71875 -0.1515591601559272139 13.48334811227350016 -2.721037172730190419e-10 -0.01494102355389197515 -0.0005955685534381947822 -1.986426776393111832e-10
88 2.75 -0.1520341130143848807 13.48332919203634361 -2.783084713532086508e-10 -0.01519849147064567148 -0.0006054475889936954559 -1.985521305660674591e-10
89 2.78125 -0.1525171351120368779 13.48330996245705116 -2.845092641145145448e-10 -0.01545670712486374443 -0.0006153465373345876456 -1.984253683617892787e-10
90 2.8125 -0.1530082467577168481 13.48329042313296533 -2.907049605309094445e-10 -0.01571557266175920356 -0.0006252583707630649532 -1.982622853246363013e-10
91 2.84375 -0.1535074652063436462 13.48327057386959105 -2.968944013808783594e-10 -0.01597499035605759107 -0.0006351764279794005 -1.980621071990046049e-10
92 2.875 -0.1540148046804245274 13.4832504146682588 -3.030764063567809974e-10 -0.01623486317058785156 -0.0006450944426273422499 -1.978241592288849582e-10
93 2.90625 -0.1545302764037004839 13.48322994571358002 -3.09249790815700987e-10 -0.01649509514483084652 -0.0006550065497065958586 -1.975483026854395644e-10
94 2.9375 -0.1550538886414699891 13.48320916736119557 -3.154133860668714805e-10 -0.01675559160862379049 -0.0006649072763081719352 -1.972350480374551192e-10
95 2.96875 -0.1555856467432854273 13.48318808012607128 -3.215660522436652585e-10 -0.01701625925809376397 -0.0006747915239558886563 -1.96885317657401594e-10
96 3 -0.1561255531854021938 13.48316668467142954 -3.277066807372022268e-10 -0.01727700614773682031 -0.0006846545485607129482 -1.965001117931824678e-10
